T_forecast [day], Q_compare [m3/s], Q_forecast [m3/s]
1993-01-11 18:00 , 727985.0 ,0, 1.08379507172 0.586204928282
1993-01-19 18:00 , 727993.0 ,0, 1.10233058803 0.447669411971
1993-01-29 18:00 , 728003.0 ,0, 1.06992050716 0.550079492841
1993-02-09 18:00 , 728013.0 ,0, 1.04563308163 0.524366918366
1993-02-20 18:00 , 728024.0 ,0, 1.05017205464 0.50982794536
1993-03-00 18:00 , 728034.0 ,0, 1.07581525526 0.584184744743
1993-03-10 18:00 , 728044.0 ,0, 1.29437373003 0.835626269974
1993-03-20 18:00 , 728054.0 ,0, 1.73332758808 0.386672411918
1993-04-00 18:00 , 728064.0 ,0, 2.94399303986 -0.863993039863
1993-04-10 18:00 , 728074.0 ,0, 4.06598848601 0.0640115139873
1993-04-21 18:00 , 728085.0 ,0, 5.46134621833 2.43865378167
1993-05-01 18:00 , 728095.0 ,0, 8.10074699489 2.39925300511
1993-05-11 18:00 , 728105.0 ,0, 10.820609737 1.37939026298
1993-05-21 18:00 , 728115.0 ,0, 12.5690573155 1.93094268445
1993-06-01 18:00 , 728125.0 ,0, 14.0854714932 -0.585471493218
1993-06-11 18:00 , 728135.0 ,0, 19.5962324592 -9.19623245919
1993-06-22 18:00 , 728146.0 ,0, 23.8805528734 -13.3805528734
1993-07-02 18:00 , 728156.0 ,0, 18.9712353016 -8.17123530159
1993-07-12 18:00 , 728166.0 ,0, 17.753402703 -9.56340270302
1993-07-23 18:00 , 728177.0 ,0, 10.4904974981 -2.45049749809
1993-08-03 18:00 , 728187.0 ,0, 5.34614572709 0.313854272905
1993-08-13 18:00 , 728197.0 ,0, 3.6894457621 0.380554237903
1993-08-23 18:00 , 728207.0 ,0, 2.89363982081 0.266360179186
1993-09-03 18:00 , 728217.0 ,0, 2.39707329529 0.32292670471
1993-09-13 18:00 , 728227.0 ,0, 2.23453085553 0.125469144466
1993-09-24 18:00 , 728238.0 ,0, 2.06758438937 0.0324156106283
1993-10-04 18:00 , 728248.0 ,0, 1.8659127116 0.154087288397
1993-10-14 18:00 , 728258.0 ,0, 1.70835178143 0.181648218575
1993-10-24 18:00 , 728268.0 ,0, 1.70511296308 0.134887036921
1993-11-04 18:00 , 728278.0 ,0, 1.47403806681 0.30596193319
1993-11-14 18:00 , 728288.0 ,0, 1.42409225071 0.275907749294
1993-11-25 18:00 , 728299.0 ,0, 1.31729705078 0.362702949225
1994-00-00 12:00 , 728309.0 ,0, 1.23879869724 0.371201302763
1994-00-10 12:00 , 728319.0 ,0, 1.22520374045 0.29479625955
1994-00-21 12:00 , 728330.0 ,0, 1.19015634511 0.329843654888
1994-01-01 12:00 , 728340.0 ,0, 1.17043847012 0.339561529881
1994-01-11 12:00 , 728350.0 ,0, 1.15909649608 0.31090350392
1994-01-19 12:00 , 728358.0 ,0, 1.15792109638 0.292078903618
