T_forecast [day], Q_compare [m3/s], Q_forecast [m3/s]
1993-01-11 00:1080 , 2.48 ,0, 1.988 0.492
1993-01-19 00:1080 , 2.46 ,0, 1.978 0.482
1993-01-29 00:1080 , 2.45 ,0, 1.965 0.485
1993-02-09 00:1080 , 2.43 ,0, 1.949 0.481
1993-02-20 00:1080 , 2.39 ,0, nan nan
1993-03-00 00:1080 , 2.57 ,0, nan nan
1993-03-10 00:1080 , 3.25 ,0, nan nan
1993-03-20 00:1080 , 3.28 ,0, nan nan
1993-04-00 00:1080 , 2.92 ,0, nan nan
1993-04-10 00:1080 , 5.7 ,0, 6.232 -0.532
1993-04-21 00:1080 , 12.2 ,0, 10.255 1.945
1993-05-01 00:1080 , 16.8 ,0, 12.131 4.669
1993-05-11 00:1080 , 20.3 ,0, 15.135 5.165
1993-05-21 00:1080 , 18.5 ,0, 15.549 2.951
1993-06-01 00:1080 , 19.4 ,0, 15.93 3.47
1993-06-11 00:1080 , 16.8 ,0, 15.98 0.82
1993-06-22 00:1080 , 13.2 ,0, 15.02 -1.82
1993-07-02 00:1080 , 9.11 ,0, 11.484 -2.374
1993-07-12 00:1080 , 8.78 ,0, 10.017 -1.237
1993-07-23 00:1080 , 9.81 ,0, 7.98 1.83
1993-08-03 00:1080 , 7.83 ,0, 6.296 1.534
1993-08-13 00:1080 , 6.43 ,0, 5.018 1.412
1993-08-23 00:1080 , 4.94 ,0, 4.293 0.647
1993-09-03 00:1080 , 4.54 ,0, 3.835 0.705
1993-09-13 00:1080 , 3.95 ,0, 3.487 0.463
1993-09-24 00:1080 , 3.4 ,0, 3.233 0.167
1993-10-04 00:1080 , 2.88 ,0, 3.082 -0.202
1993-10-14 00:1080 , 2.72 ,0, 2.893 -0.173
1993-10-24 00:1080 , 2.78 ,0, 2.785 -0.005
1993-11-04 00:1080 , 2.94 ,0, 2.6523 0.2877
1993-11-14 00:1080 , 2.99 ,0, 2.393 0.597
1993-11-25 00:1080 , 2.85 ,0, 2.408 0.442
1994-00-00 00:720 , 2.88 ,0, 2.353 0.527
1994-00-10 00:720 , 2.7 ,0, 2.332 0.368
1994-00-21 00:720 , 2.49 ,0, 2.172 0.318
1994-01-01 00:720 , 2.26 ,0, 2.087 0.173
1994-01-11 00:720 , 2.4 ,0, 2.082 0.318
1994-01-19 00:720 , 2.23 ,0, 2.076 0.154
1994-01-29 00:720 , 2.23 ,0, 2.066 0.164
1994-02-09 00:720 , 2.17 ,0, 2.051 0.119
1994-02-20 00:720 , 2.34 ,0, nan nan
1994-03-00 00:720 , 2.37 ,0, nan nan
1994-03-10 00:720 , 2.83 ,0, nan nan
1994-03-20 00:720 , 3.52 ,0, nan nan
1994-04-00 00:720 , 6.55 ,0, nan nan
1994-04-10 00:720 , 8.82 ,0, 6.152 2.668
1994-04-21 00:720 , 12.7 ,0, 10.797 1.903
1994-05-01 00:720 , 12.8 ,0, 12.511 0.289
1994-05-11 00:720 , 17.4 ,0, 15.465 1.935
1994-05-21 00:720 , 20.5 ,0, 15.819 4.681
1994-06-01 00:720 , 16.0 ,0, 16.37 -0.37
1994-06-11 00:720 , 13.7 ,0, 15.88 -2.18
1994-06-22 00:720 , 13.9 ,0, 14.46 -0.56
1994-07-02 00:720 , 11.3 ,0, 11.065 0.235
1994-07-12 00:720 , 10.4 ,0, 9.675 0.725
1994-07-23 00:720 , 7.07 ,0, 8.033 -0.963
1994-08-03 00:720 , 5.52 ,0, 6.402 -0.882
1994-08-13 00:720 , 4.85 ,0, 5.211 -0.361
1994-08-23 00:720 , 4.47 ,0, 4.396 0.074
1994-09-03 00:720 , 4.05 ,0, 3.987 0.063
1994-09-13 00:720 , 3.83 ,0, 3.61 0.22
1994-09-24 00:720 , 3.75 ,0, 3.268 0.482
1994-10-04 00:720 , 3.75 ,0, 3.065 0.685
1994-10-14 00:720 , 3.72 ,0, 2.883 0.837
1994-10-24 00:720 , 3.49 ,0, 2.781 0.709
1994-11-04 00:720 , 3.05 ,0, 2.6843 0.3657
1994-11-14 00:720 , 3.06 ,0, 2.463 0.597
1994-11-25 00:720 , 2.98 ,0, 2.473 0.507
1995-00-00 00:360 , 2.88 ,0, 2.431 0.449
1995-00-10 00:360 , 2.79 ,0, 2.392 0.398
1995-00-21 00:360 , 2.56 ,0, 2.211 0.349
1995-01-01 00:360 , 2.71 ,0, 2.103 0.607
1995-01-11 00:360 , 2.61 ,0, 2.112 0.498
1995-01-19 00:360 , 2.38 ,0, 2.076 0.304
1995-01-29 00:360 , 2.48 ,0, 2.061 0.419
1995-02-09 00:360 , 2.43 ,0, 2.04 0.39
1995-02-20 00:360 , 2.38 ,0, nan nan
1995-03-00 00:360 , 2.25 ,0, nan nan
1995-03-10 00:360 , 2.25 ,0, nan nan
1995-03-20 00:360 , 3.03 ,0, nan nan
1995-04-00 00:360 , 5.25 ,0, nan nan
