T_forecast [day], Q_compare [m3/s], Q_forecast [m3/s], Q_err [m3/s]
728003.0 , 2.446666667 , 1.77093032884 , 0.675736338163
728034.0 , 2.736666667 , nan , nan
728064.0 , 3.966666667 , 5.72071274148 , -1.75404607448
728095.0 , 16.43333333 , 13.7686326947 , 2.66470063533
728125.0 , 18.23333333 , 15.5772771676 , 2.65605616244
728156.0 , 10.36333333 , 11.5844762409 , -1.22114291089
728187.0 , 8.023333333 , 7.72872638476 , 0.294606948244
728217.0 , 4.476666667 , 4.61557526335 , -0.138908596353
728248.0 , 3.0 , 3.773754457 , -0.773754457003
728278.0 , 2.903333333 , 3.25143583455 , -0.348102501546
728309.0 , 2.81 , 2.88356671857 , -0.073566718567
728340.0 , 2.383333333 , 2.23512331931 , 0.148210013695
728368.0 , 2.21 , 2.08308974915 , 0.126910250848
728399.0 , 2.513333333 , nan , nan
728429.0 , 6.296666667 , 4.26683726001 , 2.02982940699
728460.0 , 14.3 , 14.2256006621 , 0.0743993378891
728490.0 , 16.73333333 , 17.0930885488 , -0.359755218842
728521.0 , 11.86666667 , 11.7010510391 , 0.165615630916
728552.0 , 5.813333333 , 7.89511844958 , -2.08178511658
728582.0 , 4.116666667 , 4.52317284291 , -0.406506175911
728613.0 , 3.74 , 3.37158948287 , 0.36841051713
728643.0 , 3.2 , 2.95695729932 , 0.243042700679
728674.0 , 2.883333333 , 2.60757962427 , 0.275753708728
728705.0 , 2.626666667 , 2.33020278588 , 0.296463881121
728733.0 , 2.43 , 2.24168858585 , 0.188311414146
728764.0 , 2.293333333 , 2.61058288659 , -0.317249553594
728794.0 , 4.303333333 , 5.20935891309 , -0.906025580085
728825.0 , 9.903333333 , 14.9434204311 , -5.04008709807
728855.0 , 16.63333333 , 17.9428683892 , -1.30953505917
728886.0 , 11.86666667 , 11.5205159404 , 0.346150729633
728917.0 , 5.05 , 7.06481215503 , -2.01481215503
728947.0 , 3.583333333 , 4.36837270269 , -0.785039369695
728978.0 , 2.813333333 , 3.46464543593 , -0.651312102929
729008.0 , 2.566666667 , 3.05092585386 , -0.484259186865
729039.0 , 2.44 , 2.81164132374 , -0.371641323744
729070.0 , 2.303333333 , 2.50801481099 , -0.204681477986
729099.0 , 2.02 , 2.35970538802 , -0.339705388017
729130.0 , 2.44 , 2.50791642058 , -0.0679164205847
729160.0 , 3.453333333 , 4.75459795409 , -1.30126462109
729191.0 , 14.53 , 13.2519879712 , 1.27801202882
729221.0 , 19.6 , 17.1847258521 , 2.41527414788
729252.0 , 15.32333333 , 11.3427663112 , 3.98056701876
729283.0 , 6.33 , 6.17576098923 , 0.154239010774
729313.0 , 4.416666667 , 4.04199609987 , 0.374670567129
729344.0 , 3.333333333 , 3.1603706235 , 0.172962709502
729374.0 , 2.933333333 , 2.8783180623 , 0.0550152707033
729405.0 , 2.786666667 , 2.70393968369 , 0.0827269833118
729436.0 , 2.66 , 2.43397164285 , 0.226028357154
729464.0 , 2.483333333 , 2.21368916252 , 0.269644170478
729495.0 , 3.676666667 , 2.41380602489 , 1.26286064211
729525.0 , 8.123333333 , 4.53995342123 , 3.58337991177
729556.0 , 16.66666667 , 12.7192357286 , 3.94743094145
729586.0 , 16.63333333 , 17.6037803686 , -0.970447038639
729617.0 , 12.6 , 12.9222134924 , -0.322213492441
729648.0 , 7.076666667 , 5.70654751854 , 1.37011914846
729678.0 , 4.306666667 , 4.02385675586 , 0.282809911142
729709.0 , 3.05 , 3.27333544396 , -0.223335443956
729739.0 , 2.693333333 , 2.88819795005 , -0.194864617051
729770.0 , 2.55 , 2.69643465797 , -0.14643465797
729801.0 , 2.446666667 , 2.52472722965 , -0.0780605626478
729829.0 , 2.196666667 , 2.3014288537 , -0.104762186702
729860.0 , 2.236666667 , 2.74012529934 , -0.503458632343
729890.0 , 3.84 , 4.94226377873 , -1.10226377873
729921.0 , 14.7 , 13.3854174597 , 1.31458254033
729951.0 , 19.06666667 , 17.568642989 , 1.49802368095
729982.0 , 16.73333333 , 13.1830989697 , 3.55023436031
